county, fips code, county seat, established, origin, etymology, population, area, map
Accomack County ,1, Accomac ,1663," Accomac Shire was established in 1634 as one of the original eight shires of Virginia. In 1642 it was renamed Northampton County. Then in 1663 Northampton County was divided into two counties. The southern half remained Northampton County while the northern half became Accomac County -- later renamed Accomack with a ""k."". "," From the Native American word Accawmack meaning ""on the other side"" referencing the county's position across Chesapeake Bay ",32973,455,
Albemarle County ,3, Charlottesville ,1744, In 1744 the Virginia General Assembly created Albemarle County by taking the northern portion of Goochland County. , Willem Anne van Keppel 2nd Earl of Albemarle colonial proprietary governor ,105703,723,
Alleghany County ,5, Covington ,1822, Formed from parts of Bath and Botetourt counties as well as Monroe County (now in WV) , Alleghany Mountains ,15677,446,
Amelia County ,7, Amelia ,1735, Formed from Brunswick and Prince George counties , Princess Amelia Sophia second daughter of George II of Great Britain ,12903,357,
Amherst County ,9, Amherst ,1761, From Albemarle county , Jeffery Amherst British conqueror of Quebec during the Seven Years' War and colonial governor of Virginia ,31914,475,
Appomattox County ,11, Appomattox ,1845, From Buckingham Campbell Charlotte and Prince Edward counties , Appomattox River ,15414,334,
Arlington County ,13, Arlington ,1846, Annexed from the District of Columbia having previously been part of Fairfax County prior to the district's formation , Arlington House The Robert E. Lee Memorial originally called Alexandria County,229164,26,
Augusta County ,15, Staunton ,1738, From Orange County , Augusta of Saxe-Gotha the Princess of Wales ,74314,971,
Bath County ,17, Warm Springs ,1791, From Augusta Botetourt and Greenbrier counties May 1 1791 , Bath England ,4470,532,
Bedford County ,19, Bedford ,1754, From Lunenburg county , John Russell 4th Duke of Bedford British politician and one of the head negotiators of the Peace of Paris ,77724,755,
Bland County ,21, Bland ,1861, From Giles Tazewell and Wythe counties , Richard Bland member of the Continental Congress and publisher of the American Revolutionary War-era tract An Inquiry into the Rights of the British Colonies ,6561,359,
Botetourt County ,23, Fincastle ,1770, From Augusta county. , Norborne Berkeley 4th Baron Botetourt colonial governor of Virginia ,33347,543,
Brunswick County ,25, Lawrenceville ,1720, From Prince George county. Parts of Surry and Isle of Wight counties were added in 1732 (when the county's government was established.) , Duchy of Brunswick-Lüneburg from which the current line of British monarchs hailed ,16698,566,
