X,Y,OBJECTID,GPIN,NAME,ADDRESS,WEB_LINK,SP_Y,SP_X,LATI,LONG_,SUB_CATEGORY,CATEGORY,NOTE_
-76.139076992725023,36.773343265339641,175,14754031760000,Glenwood Elementary School,2213 ROUND HILL DR,http://www.glenwoodes.vbschools.com/,3449680.01210997,12174351.5077271,36.77334327,-76.13907699,Elementary School,,
-76.037633522946919,36.637177156081137,176,24005047420000,Creeds Elementary School,920 PRINCESS ANNE RD,http://www.creedses.vbschools.com/,3400879.74914639,12205347.2232946,36.63717716,-76.03763352,Elementary School,,
-76.094785941222128,36.862000761273585,177,14886234650000,Kingston Elementary School,3532 KINGS GRANT RD,http://www.kingstones.vbschools.com/,3482275.8124038,12186497.7596813,36.86200076,-76.09478594,Elementary School,,
-76.15474360499185,36.810380881732677,178,14669259670000,Providence Elementary School,4968 PROVIDENCE RD,http://www.providencees.vbschools.com/,3463046.3134613,12169429.2685559,36.81038088,-76.1547436,Elementary School,,
-76.122953884478562,36.803258254307039,179,14768087800000,White Oaks Elementary School,960 WINDSOR OAKS BLVD,http://www.whiteoakses.vbschools.com/,3460686.64101529,12178798.206839,36.80325825,-76.12295388,Elementary School,,
-76.084804700811461,36.834526238921548,180,14879274770000,Lynnhaven Elementary School,210 DILLON DR,http://www.lynnhavenes.vbschools.com/,3472350.57569264,12189672.7539875,36.83452624,-76.0848047,Elementary School,,
-76.155831252798521,36.86389362411429,181,14688264680000,Diamond Springs Elementary,5225 LEARNING CIR,http://www.diamondspringses.vbschools.com/,3482515.56979829,12168627.2094645,36.86389362,-76.15583125,Elementary School,,
-76.109579238319199,36.765995053603156,182,14842794330000,New Castle Elementary School,4136 DAM NECK RD,http://www.newcastlees.vbschools.com/,3447222.89596121,12183056.3000288,36.76599505,-76.10957924,Elementary School,,
-76.120859914246211,36.773240007041807,183,14749957760000,Salem Elementary School,3961 SALEM LAKES BLVD,http://www.salemes.vbschools.com/,3449776.37018496,12179686.4934482,36.77324001,-76.12085991,Elementary School,,
-76.006966367755396,36.787499162578605,184,24152589670000,Corporate Landing Elementary School,1590 CORPORATE LANDING PKWY,http://www.corporatelandinges.vbschools.com/,3455826.83708663,12212897.3758452,36.78749916,-76.00696637,Elementary School,,
-76.032884172260609,36.751698599596246,185,24045297280000,Princess Anne Elementary School,2444 SEABOARD RD,http://www.princessannees.vbschools.com/,3442597.4803433,12205650.7735406,36.7516986,-76.03288417,Elementary School,,
-76.170416248547511,36.838532851683929,186,14674364860000,Point O'View Elementary School,5400 PARLIAMENT DR,http://www.pointoviewes.vbschools.com/,3473179.30074121,12164589.5449677,36.83853285,-76.17041625,Elementary School,,
