X,Y,OBJECTID,GPIN,NAME,ADDRESS,WEB_LINK,SP_Y,SP_X,LATI,LONG_,SUB_CATEGORY,NOTE_
-75.991479529936484,36.864397729048626,286,24186379730000,Princess Anne Country Club,142 PINEWOOD RD,,3483934.66800997,12216687.107439,36.86439773,-75.99147953,Golf Course,
-76.08682308949075,36.819761420576299,287,14869720460000,Bow Creek Golf Course,512 BARCELONA LN,,3466961.58351788,12189219.6436732,36.81976142,-76.08682309,Golf Course,
-76.03179406037512,36.733303366776695,288,24034585910000,Heron Ridge Golf Club,2997 HERON RIDGE DR STE VL,,3435910.6905673,12206145.1318038,36.73330337,-76.03179406,Golf Course,
-76.164059738156041,36.876671794169425,289,14686842390000,Cypress Point Country Club,5340 CLUB HEAD RD,,3487106.82013021,12166105.6206756,36.87667179,-76.16405974,Golf Course,
-76.061314043592631,36.73289054549565,290,14936378940000,The Signature at West Neck,3100 ARNOLD PALMER DR,,3435535.63718355,12197501.074945,36.73289055,-76.06131404,Golf Course,
-76.128180986182429,36.777065917516033,291,14758027580000,Honey Bee Golf Club,2500 S INDEPENDENCE BLVD,,3451114.93410888,12177507.8593541,36.77706592,-76.12818099,Golf Course,
-76.15041438109256,36.923337881774948,292,14697928600000,Eagle Haven Golf Course,1225 GATOR BLVD,,3504191.02349454,12169672.8054704,36.92333788,-76.15041438,Golf Course,
-76.048430003342531,36.890805035695891,293,14999370750000,Broad Bay Point Greens Country Club,2120 LORDS LNDG STE GC1,,3493108.29237922,12199782.605815,36.89080504,-76.04843,Golf Course,
-75.982651251141831,36.742635012889238,294,24231933290000,Hell’s Point Golf Club,828 SANDBRIDGE RD,,3439687.22566514,12220450.8732054,36.74263501,-75.98265125,Golf Course,
-76.004071589871444,36.862507054984981,295,24183301470000,Cavalier Golf Course & Yacht Club,929 CARDINAL RD,,3483148.91400404,12213022.8496756,36.86250705,-76.00407159,Golf Course,
-76.111303096366271,36.901980888416638,296,14891619620000,Bayville Golf Course,4141 10TH ST,,3496704.63656446,12181298.8708009,36.90198089,-76.1113031,Golf Course,
-76.03118130784172,36.797758571860491,297,24065574290000,Aeropines Golf Course,1425 NS TOMCAT BLVD,,3459374.51929571,12205711.0001261,36.79775857,-76.03118131,Golf Course,
-75.980158549297599,36.797169687705406,298,24250955700000,Redwing Lake Golf Course,1136 PROSPERITY RD,,3459554.87982738,12220651.0942616,36.79716969,-75.98015855,Golf Course,
-76.159920588787713,36.772927021341431,299,14647889480000,Stumpy Lake Golf Course,4797 INDIAN RIVER RD,,3449376.52059096,12168252.1383642,36.77292702,-76.15992059,Golf Course,
-76.074585070880588,36.759377263996228,300,14942496730000,Virginia Beach National Golf Course,2400 TOURNAMENT DR,,3445075.68667297,12193365.5254733,36.75937726,-76.07458507,Golf Course,
-76.148542349532633,36.820162512146076,301,14761785920000,Kempsville Greens Municipal Golf Course,529 KEMPSVILLE GREENS CT,,3466651.7058568,12171155.4485025,36.82016251,-76.14854235,Golf Course,
-75.997774121252021,36.828211152446187,656,24174087200000,Owl's Creek Golf Course,411 S BIRDNECK RD,,3470715.4516663,12215195.472627,36.82821115,-75.99777412,Golf Course,
