X,Y,OBJECTID,GPIN,NAME,ADDRESS,WEB_LINK,SP_Y,SP_X,LATI,LONG_,SUB_CATEGORY,CATEGORY,NOTE_
-76.111559479141633,36.804685507024431,163,14862146150000,Green Run High School,1700 DAHLIA DR,http://www.greenrunhs.vbschools.com/,3461290.30877121,12182120.0660089,36.80468551,-76.11155948,High School,,
-76.100929116106656,36.780204348899666,164,14855225160000,Landstown High School,2001 CONCERT DR,http://www.landstownhs.vbschools.com/,3452458.88220838,12185457.8641233,36.78020435,-76.10092912,High School,,
-76.128457185792954,36.844209422713334,165,14777694480000,Princess Anne High School,4400 VIRGINIA BEACH BLVD, ,3475551.10898972,12176812.9411245,36.84420942,-76.12845719,High School,,
-76.150611873911146,36.86978825845204,166,14689496160000,Bayside High School,4960 HAYGOOD RD,http://www.baysidehs.vbschools.com/,3484699.00604822,12170100.2481851,36.86978826,-76.15061187,High School,,
-76.061471666483968,36.744997610746445,167,14937900820000,Floyd E. Kellam High School,2665 WEST NECK RD,http://www.kellamhs.vbschools.com/,3439940.97351721,12197341.0486902,36.74499761,-76.06147167,High School,,
-76.14352577160885,36.78280227505531,168,14753312650000,Salem High School,1993 SUNDEVIL DR,http://www.salemhs.vbschools.com/,3453090.2664443,12172962.9261867,36.78280227,-76.14352577,High School,,
-76.181419261508424,36.784798886041074,169,14651344580000,Tallwood High School,1668 KEMPSVILLE RD,http://www.tallwoodhs.vbschools.com/,3453542.22551413,12161850.9851561,36.78479889,-76.18141926,High School,,
-76.159477968185982,36.843424662703676,170,14677479960000,Renaissance Academy,5100 CLEVELAND ST,http://www.renacademy.vbschools.com/,3475038.95581456,12167745.4484327,36.84342466,-76.15947797,High School,,
-76.157083183606019,36.820504142198985,171,14668684650000,Kempsville High School,5194 CHIEF TRL,http://www.kempsvillehs.vbschools.com/,3466713.89700538,12168653.0958956,36.82050414,-76.15708318,High School,,
-75.981457791676164,36.771540767733896,172,24250052430000,Ocean Lakes High School,885 SCHUMANN DR,http://www.oceanlakeshs.vbschools.com/,3450216.95263714,12220519.7155874,36.77154077,-75.98145779,High School,,
-76.029102214608812,36.873415537993807,173,24085770540000,First Colonial High School,1272 MILL DAM RD,http://www.firstcolonialhs.vbschools.com,3486926.55343038,12205598.6663613,36.87341554,-76.02910221,High School,,
-76.051844102682125,36.887383663874594,174,14998186570000,Cox High School,2425 SHOREHAVEN DR,http://www.coxhs.vbschools.com/,3491837.13383229,12198816.8108306,36.88738366,-76.0518441,High School,,
