X,Y,OBJECTID,GPIN,NAME,ADDRESS,WEB_LINK,SP_Y,SP_X,LATI,LONG_,SUB_CATEGORY,NOTE_
-75.988480878059605,36.815610242587013,329,24167588580000,Aquarium - South Building,928 S BIRDNECK RD,,3466201.49776772,12218036.5460131,36.81561024,-75.98848088,Museum,
-76.054514897328076,36.746876315671514,331,14949046270000,Buffington House (Vacant),2441 NORTH LANDING RD,,3440677.4743408,12199361.023981,36.74687632,-76.0545149,Museum,
-76.113299894037695,36.893554592970261,335,14890397400000,Adam Thoroughgood House,1636 PARISH RD,,3493622.9629378,12180792.7468132,36.89355459,-76.11329989,Museum,
-75.975602649909405,36.85222679695012,340,24271946220000,Old Coast Guard Station,2401 ATLANTIC AVE,,3479628.79768471,12221448.64516,36.8522268,-75.97560265,Museum,
-75.972465645800654,36.840462037253673,341,24272553170000,DeWitt Cottage/Atlantic Wildfowl Heritage Museum,1113 ATLANTIC AVE,,3475371.52011004,12222480.8481481,36.84046204,-75.97246565,Museum,
-75.983728304218033,36.820935436205296,346,24169876530000,Virginia Aquarium and Marine Science Center,717 GENERAL BOOTH BLVD,,3468176.67360738,12219375.6184661,36.82093544,-75.9837283,Museum,
-75.987528561450489,36.84867897694383,349,24178803550000,Contemporary Art Center of Virginia,2200 PARKS AVE,,3478244.47040089,12217994.8302172,36.84867898,-75.98752856,Museum,
-76.079347308797978,36.842103501420667,351,14971512270000,Francis Land House,3131 VIRGINIA BEACH BLVD,,3475149.33715546,12191198.6626811,36.8421035,-76.07934731,Museum,
-76.11804996247794,36.861895037968658,364,14789270140000,Ferry Plantation House,4136 CHESWICK LN,,3482064.78625105,12179694.9209248,36.86189504,-76.11804996,Museum,
-76.1269754731223,36.873347734811318,653,14787601390000,Lynnhaven House,4405 WISHART RD,,3486167.46767822,12176979.7416439,36.87334774,-76.12697547,Museum,
-76.03871412975839,36.840725587557436,659,24073419250000,Upper Wolfsnare,2040 POTTERS RD,,3474955.24699247,12203098.3094854,36.84072559,-76.03871413,Museum,
