X,Y,OBJECTID,GPIN,NAME,ADDRESS,WEB_LINK,SP_Y,SP_X,LATI,LONG_,SUB_CATEGORY,NOTE_
-76.022899114009974,36.841709762208708,325,24077574330000,Oceana Neighborhood Park,229 FIRST COLONIAL RD,,3475434.48291063,12207715.3793195,36.84170976,-76.02289911,City Park,
-76.003663447508615,36.748592296080801,330,24144126490000,Red Mill Farms Park,1900 SANDBRIDGE RD,,3441691.95000213,12214238.8075456,36.7485923,-76.00366345,City Park,
-76.059349315776871,36.883671443697558,338,14996081840000,Great Neck Park,2521 SHOREHAVEN DR,,3490429.19406289,12196657.5349654,36.88367144,-76.05934932,City Park,
-76.119969809563813,36.902567646181915,342,14798537230000,Bayville Farms Park,4132 FIRST COURT RD,,3496854.19991364,12178760.1429387,36.90256765,-76.11996981,City Park,
-76.199603988060574,36.777026616354725,347,14554434010000,City View Park,1989 JAKE SEARS RD,,3450583.03261364,12156596.0862171,36.77702662,-76.19960399,City Park,
-76.09332796653284,36.776043041046449,350,14857069420000,Princess Anne Commons Gateway Park,3740 DAM NECK RD,,3451000.96255204,12187721.9127448,36.77604304,-76.09332797,City Park,
-75.975654895028001,36.852524893245075,352,24271937960000,24th Street Park,2405 ATLANTIC AVE,,3479736.8824423,12221430.4624536,36.85252489,-75.97565489,City Park,
-75.985531460148493,36.85636547319654,355,24188171330000,Beach Garden Park,2854 KILBOURNE CT,,3481057.57041772,12218504.4558384,36.85636547,-75.98553146,City Park,
-76.122410352527709,36.831326844086554,356,14767978800000,Mount Trashmore Park,310 EDWIN DR,,3470906.74951205,12178699.9412875,36.83132684,-76.12241035,City Park,
-75.923314970918767,36.692618614801539,363,24328118560000,Little Island Park,3820 SANDPIPER RD,,3421952.81297129,12238327.9407976,36.69261861,-75.92331497,City Park,
-76.192385170454827,36.811587874186721,365,14568332440000,Woodstock Park,5709 PROVIDENCE RD,,3463214.0926533,12158402.164954,36.81158787,-76.19238517,City Park,
-75.98806922508065,36.790683823209456,366,24158711600000,Red Wing Park,1398 SAKURA LN,,3457132.58972447,12218398.4596593,36.79068382,-75.98806923,City Park,
-76.033519867766358,36.866434430594389,374,24084428800000,Lynnhaven Park,1246 BAYNE DR,,3484351.91750355,12204373.297421,36.86643443,-76.03351987,City Park,
-76.027101828167815,36.912714669626894,394,24098875140000,First Landing State Park,2500 SHORE DR,,3501245.18981929,12205808.8391693,36.91271467,-76.02710183,State Park,
-75.99814996199386,36.888694160541228,395,24098875140000,64th Street First Landing State Park,225 64th St,,3492725.74688447,12214501.9848407,36.88869416,-75.99814996,State Park,
-75.886443821304695,36.587138876908746,396,23581351080000,False Cape State Park,4001 SANDPIPER RD,,3383860.95542814,12250197.8379896,36.58713888,-75.88644382,State Park,
-75.941355151355168,36.553090261481458,397,23373154310000,MacKay Island Wildlife Refuge,,,3371027.20878597,12234417.0634488,36.55309026,-75.94135515,Wildlife Refuge,
-75.918726210259138,36.681632753238667,398,24309634300000,Back Bay National Wildlife Refuge,4005 SANDPIPER RD,,3417991.26741672,12239782.2521935,36.68163275,-75.91872621,Wildlife Refuge,
-76.092690705263564,36.814275830516777,415,14867438990000,Plaza Northgate Park,3401 BANCROFT DR STE A,,3464921.16732313,12187553.5731865,36.81427583,-76.09269071,City Park,
-76.021405782529442,36.597319253818355,433,,Creeds Wayside Park,,,3386497.6122283,12210488.1309918,36.59731925,-76.02140578,City Park,
-76.046535783395115,36.617462854459518,434,23092363980000,Pungo Ferry Landing Park,2272 OLD PUNGO FERRY RD,,3393636.46048339,12202922.5135771,36.61746285,-76.04653578,City Park,
-75.969247856198436,36.830562280799739,436,,Grommet Island Park,100 2nd St,,3471793.68999538,12223518.7699567,36.83056228,-75.96924786,City Park,
-75.978514290069526,36.8644250354821,437,,Hillier Ignite Fitness Park,100 36th St,,3484045.6415413,12220478.4171136,36.86442504,-75.97851429,City Park,
-76.160268047258143,36.824864087454593,438,14667863410000,Kempes Landing Park,524 KEMPSVILLE RD,,3468277.67996705,12167681.7877989,36.82486409,-76.16026805,City Park,
-76.164174130522653,36.89182308897329,439,14695281070000,Lake Lawson / Lake Smith Natural Area,5381 Shell Rd,,3492620.66212088,12165935.6941782,36.89182309,-76.16417413,City Park,
-75.990568684052448,36.834513797606995,441,24177301860000,Marshview Park - In Development,Marshview Dr,,3473065.30949938,12217242.6624302,36.8345138,-75.99056868,City Park,
-76.036567258637277,36.583774160450666,442,23086120390000,Munden Point Park,,,3381451.20204555,12206167.2925206,36.58377416,-76.03656726,City Park,
-76.099136773197273,36.904078561714144,443,14894755330000,Pleasure House Point Natural Area,3957 Marlin Bay Dr,,3497558.35500138,12184835.7436484,36.90407856,-76.09913677,City Park,
-76.197589177371057,36.81155555906831,444,14566382790000,Providence Park,952 REON DR,,3463165.13638638,12156879.4380126,36.81155556,-76.19758918,City Park,
-76.051958433963279,36.747437228925861,446,14949099390000,West Neck Creek Natural Area,,,3440901.03721388,12200104.5175727,36.74743723,-76.05195843,City Park,
-76.157512620532643,36.861660888408188,447,14688124660000,Williams Farm Park,5269 LEARNING CIR,,3481690.70661864,12168155.6503682,36.86166089,-76.15751262,City Park,
-76.014145293874307,36.771636778597347,448,24140999780000,Strawbridge East Park,1921 Lewisham Way,,3449998.15648679,12210947.8735106,36.77163678,-76.01414529,City Park,
-76.194166654529056,36.771387896448381,449,14548825870000,Alexandria Park,5569 GLEN VIEW DR,,3448569.52089264,12158238.2509117,36.7713879,-76.19416665,City Park,
-75.997754318789916,36.874968341739503,450,24184787450000,Bay Colony Park,824 BAY COLONY DR STE P2,,3487733.20470421,12214750.0945807,36.87496834,-75.99775432,City Park,
-76.12754592039569,36.784259283652624,451,14757368000000,Bellamy Plantation Park,1680 GREY FRIARS CHASE,,3453737.77466372,12177627.9890351,36.78425928,-76.12754592,City Park,
-76.135448878752143,36.783858123431756,452,14755335530000,Bellamy Plantation East Park,1833 BURWILLOW DR,,3453533.70354955,12175317.9585501,36.78385812,-76.13544888,City Park,
-76.136449739420883,36.799581943796625,453,14754982940000,Bellamy Woods Park,4629 BERRYWOOD RD,,3459249.37190822,12174881.6274018,36.79958194,-76.13644974,City Park,
-76.128272651172338,36.766236731089094,454,14747761070000,Bellwood Estates Park,2096 BRUSH HILL LN,,3447172.7625313,12177580.0649183,36.76623673,-76.12827265,City Park,
-76.100115494885841,36.851035452512328,455,14874893510000,Birchwood - Malibu Park,3632 ROYAL PALM ARCH STE P2,,3478245.12394288,12185040.5585275,36.85103545,-76.1001155,City Park,
-76.104731935334286,36.842831039966889,456,14873572820000,Birchwood South Park,3788 LAMPL AVE,,3475224.68247722,12183766.0203941,36.84283104,-76.10473194,City Park,
-76.109971350245786,36.620057253226761,457,13894431130000,Blackwater Park,3390 HEAD RIVER RD,,3394103.18067855,12184286.5318203,36.62005725,-76.10997135,City Park,
-75.987406246841417,36.776169445826362,458,24158178470000,Box Elder Arch Park,1745 BOX ELDER ARCH,,3451855.1645838,12218733.1627301,36.77616945,-75.98740625,City Park,
