name,@lat,@lon
Cafe Saint Ex,38.9154205,-77.0317015
Red Land Club,38.0315033,-78.4770551
Ecitie,38.9310786,-77.2364360
Car Pool,38.9669725,-77.3693273
Flanagan's Harp and Fiddle,38.9901507,-77.0971547
Saphire,38.9902695,-77.0958136
Bourbon,38.9202635,-77.0415814
Black Squirrel,38.9212341,-77.0419089
Soussi,38.9195312,-77.0418784
The Fab Lounge,38.9143559,-77.0457988
Bobby Lew's,38.9172638,-77.0418796
Brass Monkey,38.9201629,-77.0415154
Club Timehri,38.9215128,-77.0420009
The High Dive,38.9205949,-77.0416785
Madam's Organ,38.9220266,-77.0421814
Grand Central,38.9217494,-77.0420559
Dan's Cafe,38.9201030,-77.0415353
Bossa,38.9220802,-77.0421955
The Attic,38.9215468,-77.0439277
Columbia Station,38.9203763,-77.0415829
Bedrock Billiards,38.9214878,-77.0438339
Sutra Lounge,38.9208887,-77.0423206
Player's Lounge,38.8471912,-76.9963228
The Scene,38.9192533,-76.9738869
Layla Lounge,38.9071341,-76.9989222
DC Star,38.9199037,-76.9724003
Serengeti,38.9653450,-77.0279692
Simple Bar,38.9609060,-77.0282860
Petworth Citizen & Reading Room,38.9421221,-77.0244814
Porrón by ANXO,38.8819671,-76.9952596
Lounge 201,38.8946466,-77.0032801
H Street Country Club,38.9000207,-76.9870656
The Haymaker,38.8999962,-76.9920594
Club Elevate,38.9022273,-77.0078247
Atlas Arcade,38.9003573,-76.9889758
Capitol Lounge,38.8869387,-77.0024524
Little Miss Whiskey's Golden Dollar,38.9003597,-76.9912049
Bachelor's Mill,38.8771782,-76.9947481
Chateau,38.8960226,-76.9562037
The Pinch,38.9357605,-77.0330433
Asia Nine Bar and Lounge,38.8963590,-77.0250648
Green Lantern,38.9044841,-77.0308673
Rocket Bar,38.8990127,-77.0221127
Zola Wine and Kitchen,38.8965187,-77.0237127
Archibald's/Fast Eddies Billiards Cafe,38.9021339,-77.0355850
The Big Hunt,38.9084106,-77.0424176
The Fireplace,38.9098302,-77.0485969
Ozio Martini & Cigar Lounge,38.9058284,-77.0423700
JR's Bar and Grill,38.9104732,-77.0381978
Omega,38.9091940,-77.0476352
Sign Of The Whale,38.9058402,-77.0427803
Mission Mexican Restaurant Bar,38.9112951,-77.0450783
Mixers Lounge,38.9563927,-77.0120920
Chinese Disco,38.9062589,-77.0637903
Saloun,38.9053053,-77.0641501
Smith Point,38.9076176,-77.0636422
McClellan's Retreat,38.9143053,-77.0465903
Vegas Lounge,38.9098587,-77.0326181
Number Nine,38.9098061,-77.0333640
Cork Wine Bar,38.9133220,-77.0322326
Da Hong Pao,38.9093736,-77.0316803
Raven Grill,38.9293960,-77.0374038
Red Derby,38.9377279,-77.0330896
Mirrors,38.9075472,-77.0076848
The EFN Lounge and Motley Bar,38.9079172,-77.0242003
Jimmy Valentine's Lonely Hearts Club,38.9039136,-76.9806006
Hawthorne,38.9168110,-77.0310470
DC 9 Nightclub,38.9167112,-77.0242242
Vinoteca,38.9167297,-77.0273026
Local 16,38.9167985,-77.0370718
The Gibson,38.9173696,-77.0316423
Cloak & Dagger,38.9171453,-77.0314825
Station 9,38.9167982,-77.0328479
Sudhouse,38.9168579,-77.0311816
Pure Nightclub & Lounge,38.9167905,-77.0307384
Quarter & Glory,38.9176386,-77.0316179
Red Lounge,38.9174716,-77.0316138
Lounge of Three,38.9172062,-77.0264261
Twins Jazz,38.9167447,-77.0313007
JoJo Restaurant & Bar,38.9168375,-77.0353832
Chi-Cha Lounge,38.9167893,-77.0378895
Velvet Lounge,38.9171596,-77.0246671
MiHaley's,39.6677931,-79.9580324
The Big Board,38.9000577,-76.9997261
Rose’s Dream Bar & Lounge,38.9003680,-76.9859753
Gypsy Sally's,38.9041378,-77.0681132
The Sovereign,38.9053845,-77.0629709
Georgetown Piano Bar,38.9053051,-77.0655971
Parlay Sports Bar & Lounge,38.9058368,-77.0428473
Heist,38.9063642,-77.0422020
Public Bar,38.9062616,-77.0419687
Bar à Vin,38.9035707,-77.0608905
ENO Wine Bar,38.9048729,-77.0575413
Third Eye,38.9133141,-77.0452916
Larry's Lounge,38.9153910,-77.0418536
Wok and Roll,38.9207910,-77.0422277
Saloon,38.9171639,-77.0284843
All Souls,38.9157386,-77.0227160
Mighty Mike's,38.9980852,-77.4069801
The Tasting Room,38.9609066,-77.0868310
Raven Inn,39.3962895,-76.5634371
Truxton Inn,38.9138512,-77.0155774
Savour,38.9209353,-77.0423115
Sake House Inc.,37.2126394,-80.4018125
Memphis Belle,39.3366801,-76.4088618
Tavern in the Quarters,39.3292486,-76.3948257
Pit Stop,39.3347041,-76.4127833
Cap'n Cork,39.3347767,-76.4143979
Wilson Point Inn,39.3147073,-76.4149020
,39.3056698,-76.4637845
,39.3052796,-76.4636772
Johann's,39.2824181,-76.4275680
,39.3115769,-76.4478600
,39.3102861,-76.4537233
Benchwarmers Pub,39.3347283,-76.4448483
Pop's Tavern,39.2568625,-76.4623049
Old Legends Bar,36.7779501,-83.0537541
Felicita Restaurant & Club,39.1419021,-77.2229648
Charles Village Pub,39.3261586,-76.6157084
Valley Inn,39.5511900,-81.6436310
The Greene Turtle,38.5285551,-76.9783157
Hard Times,38.6365062,-77.2930949
Avenue Tavern,39.3248233,-76.4462879
Public Tenley,38.9540520,-77.0815970
Lou's City Bar,38.9284992,-77.0338260
,39.6282623,-79.9574936
Little Village,39.6579429,-79.9850492
Apothecary,39.6296845,-79.9573672
Hops Inn,39.2763488,-76.5281340
Jolynn's,39.2770547,-76.5272274
Dun Deglean,39.2665480,-76.5185102
Phillip's Inn,39.2727775,-76.5232953
Kenny B's Blue Marlin,39.2706021,-76.5265354
Bay Shore Bar & Grill,39.2294538,-76.4307928
Overlea Station,39.3572574,-76.5280905
Sams Bar (at Doubletree),38.1008988,-78.4630153
Pearmund Cellars Winery,38.7834091,-77.7396526
Venue 112 Rock'n Sports Lounge,36.8463686,-76.0492862
Buffalo Wings And Beer,39.1609527,-77.1625758
Gentleman Jims,39.1680686,-77.1720836
Fardowners,38.0691825,-78.7003498
King Family Winery,38.0623934,-78.7284272
Tobacco Barn,38.3190911,-76.4561454
Tiki Bar,38.3194840,-76.4560476
CD Cafe's Next Door Lounge,38.3265928,-76.4618827
Players Bar and Grill,39.3073763,-76.8901458
The White Oak Tavern,39.2814470,-76.8569760
Desperados,38.9168196,-77.0312337
Cuba Pete's,37.2703693,-79.9432080
,38.7869539,-76.2243377
Nottingham's,39.1902033,-76.8149077
Avenue Cafe Lounge,38.9080178,-77.0349053
The Bank Shot Bar & Grill,39.0907595,-76.7770658
Bar Dupont,38.9103680,-77.0431485
Morgan's Sports Bar & Lounge,38.6513285,-77.3045453
,39.0995832,-76.7463868
American Ice Company,38.9183318,-77.0252656
The Tasting Room,38.7853068,-77.0161044
,38.4210734,-82.4415130
Stadium Lounge,38.4224093,-82.4339854
,38.4208338,-82.4424249
,38.4259359,-82.4223459
,38.4205102,-82.4435300
Fresh Tapas & Tonics,36.7664617,-76.0155681
S & J Restaurant,38.9625477,-76.9357430
Bar Louie,39.0863301,-77.1520911
Das Bier Haus,39.2717396,-76.6117003
The Old City Bar,37.5338433,-77.4287017
,38.9745158,-77.0781648
Bungalow Billiards,38.8937360,-77.4257780
Brickhouse,37.0837804,-76.4887104
,37.2294614,-80.0108629
Bilbo Baggins,38.8065770,-77.0413446
Woody's Rum Bar and Island Grill,39.2820036,-76.5926760
Slainte Irish Pub and Restaurant,39.2820121,-76.5925570
Kooper's Tavern,39.2820152,-76.5924801
Boveda,38.9051230,-77.0507670
Frisby's Bar & Grill,37.5155249,-77.7943560
Durty Nelly's Pub-Wayside Deli,38.0257153,-78.5154159
Red Dog Saloon,36.8677268,-76.2982844
Penn Social,38.8963031,-77.0231869
Mackey's,38.8981015,-77.0302259
Black Whiskey,38.9092784,-77.0322917
Satellite Room,38.9181294,-77.0237774
The Pompei Lounge,38.1496890,-79.0717062
Barcelona Wine Bar & Restaurant,38.9120935,-77.0323977
,39.2725378,-76.5346323
Wolf Hills Brewery,36.7123541,-81.9653957
Gordon Biersch Brewery,38.9815145,-76.5418406
Showtime Lounge,38.9157733,-77.0127143
TD Lounge,39.1032323,-76.8439251
Shamrock Cafe,39.5402000,-82.4077310
Whirlz Yogurt Bar & Crepes,39.2437141,-76.8425039
Blue Mountain Barrel House,37.7103488,-78.9438603
Right Proper Brewing Company,38.9154119,-77.0213751
Roots Rock Reggae,38.0344736,-78.5000832
High Life Lounge,38.9200284,-79.8424248
Beander's,38.9258372,-79.8493447
Jabberwock,38.9234110,-79.8495180
Continental Divide,38.0318456,-78.4909688
United Global First Class Lounge,38.9454647,-77.4417970
High Life Lounge,38.9971194,-80.2325875
88 Bar & Lounge,38.9943468,-80.2260235
Hot Spot Lounge,39.2569746,-80.3216674
High Life Lounge,39.2673689,-80.3291616
AleWerks Brewing Company,37.3210783,-76.7328773
Good Times Lounge,39.0699681,-78.9678257
Biggio's,39.2789239,-80.3529886
MJ's Sports Bar,39.4816252,-80.1382251
Capital Ale House - Innsbrook,37.6484953,-77.5839100
The Beach House,37.6487636,-77.5854444
Sharky's Bar & Billiards,37.6482611,-77.5846002
The Halligan Bar & Grill,37.6481468,-77.6046069
The Wine Loft,37.6485108,-77.6020793
,38.8547182,-77.3177908
Alewife,39.2902486,-76.6208393
Speakeasy Saloon Dining House,39.2804230,-76.5755654
Plug Ugly's Publick House,39.2804408,-76.5751145
El Buffalo,39.2799827,-76.5745913
Southern Provisions,39.2804830,-76.5738470
Tony's Tavern,39.3305386,-82.1014666
MVP Bar & Grill,38.7948953,-77.6136080
Trusty's,38.8801720,-76.9843780
Mister Days Sports Rock Cafe,38.8860496,-77.0950059
Bracket Room Sports Lounge & Eatery,38.8869107,-77.0941262
