name,@lat,@lon
Starbucks,38.9168430,-77.0293894
Bollo's Cafe & Bakery,37.2297829,-80.4158580
French Press Cafe,39.3993970,-76.6015220
,38.8215956,-77.0476465
Starbucks,39.0217043,-76.9765798
Java Shack,38.8907438,-77.0890279
Starbucks,38.9940675,-77.0320366
Peet's Coffee,38.9929401,-77.0320280
Atrium Cafe,38.9925799,-77.0309723
Starbucks,38.0642169,-78.9360593
Spices and Beyond,38.9587806,-77.4246480
New Dynasty- Chinese  Halal,38.9094669,-77.0459245
Creperie,38.9094804,-77.0475697
Corner Bakery,38.8917637,-77.0854342
Corner Bakery,38.9035809,-77.0431505
Potbelly,38.9035976,-77.0436547
Panera Bread,38.9210439,-77.2358308
The Original Pancake House,38.9866515,-77.0957168
La Madeleine,38.9859164,-77.0958221
Starbucks,38.9881328,-77.0962282
Starbucks,38.8959700,-77.0216910
Camille's Sidewalk Cafe,38.8971474,-77.0208590
Starbucks,38.8999571,-77.0221468
Courtyard Cafe,38.8978950,-77.0226816
Starbucks,38.9295977,-77.0553144
Dos Gringos,38.9294319,-77.0378105
Big Apple Bagels,38.0826443,-78.9317602
Starbucks,38.8636659,-77.0627808
Starbucks,38.8617192,-77.0589167
Starbucks Coffee,38.9847492,-77.0921491
Starbucks,39.0382746,-77.0569948
Starbucks,38.9955381,-77.0775234
Einstein Bros. Bagels,38.9954436,-77.0774527
Starbucks,39.0242855,-77.1239589
Starbucks,39.0559647,-77.1181038
Deet's Place,37.2242690,-80.4212230
Starbucks,39.0345144,-77.3981509
Corner Bakery,39.0341709,-77.3982479
Starbucks,38.9626470,-77.0870488
Starbucks,38.9483385,-77.0795999
Flaxseed Cafe & Gift Shop,38.9922398,-77.0961710
Starbucks Coffee,38.9149962,-77.0675677
Dean & Deluca,38.9049054,-77.0650914
Starbucks,38.8537314,-77.0491962
Starbucks,38.8901660,-77.0860020
Chinatown Coffee Company,38.8999420,-77.0186419
Starbucks,37.2355162,-80.4334693
Starbucks,39.1509975,-77.0642082
Olney Bagel Bakery,39.1534827,-77.0686453
Starbucks,38.9088791,-77.4074713
Vie De France,39.1508111,-77.0638304
Starbucks,39.1320444,-77.0715164
BeanGood,38.8940644,-77.0791808
Starbucks,38.8960729,-77.0705613
Starbucks Coffee,38.9575502,-77.4008906
Starbucks,38.9216092,-77.2362427
Starbucks,38.9104320,-77.0436180
Brooklyn Bagel Bakery,38.8917682,-77.0842463
Manhattan Cafe & Catering,38.8936921,-77.0714046
Coffee Express,38.8946085,-77.0725800
Skywalks Cafe,38.8955009,-77.0720591
Sandella's Flatbread Cafe,38.8645487,-77.0625742
Starbucks,38.8338190,-77.3072088
Cosi,38.8969268,-77.0705952
Lynn Street Cafe,38.8954875,-77.0705623
Mochaberry Coffee,38.8955254,-77.0718256
Starbucks Coffee,38.9496444,-77.3952757
Starbucks,38.8962245,-77.0446560
Starbucks,38.9050251,-77.0619254
Cafe Tu-O-Tu,38.9049234,-77.0576002
Blessings Cafe,38.9291566,-77.2488466
Starbucks,38.9027675,-77.0390376
Starbucks,38.9022816,-77.0369500
Lille,38.9498684,-77.4094731
Starbucks,38.9032821,-77.0233587
Starbucks,38.9018400,-77.0256930
Starbucks Coffee,38.8996065,-77.0265893
Starbucks Coffee,38.8990552,-77.0237261
Starbucks,38.9017772,-77.0231662
Starbucks Coffee,38.8990867,-77.0277974
Cosi,38.8985573,-77.0275939
Starbucks Coffee,38.9074894,-77.0418898
Starbucks,38.7870681,-77.2968981
Starbucks,38.9632558,-77.0749530
Lawson Grill,38.9019066,-77.0255158
Starbucks,38.8966714,-77.0267175
Cosi,38.8959682,-77.0262278
Marvelous Market,38.9360785,-77.1765022
Gathering Grounds,38.8255374,-77.3143759
Dunkin' Donuts,38.8255804,-77.3145274
Seattle's Best Coffee,37.2294457,-80.4248469
Izē's Deli & Bagelry,39.0479483,-77.1140880
Starbucks,39.0498516,-77.1150947
Starbucks,39.0494182,-77.1091189
Starbucks,39.0628181,-77.1275694
Dunkin' Donuts,37.3550222,-77.4479074
Starbucks,39.0202396,-77.0118581
snack shack,39.2494769,-76.4122186
Joe's Diner,39.0050908,-77.4269335
club house,39.1132948,-77.0286054
club house,39.3421482,-77.1903086
club house,39.1275789,-76.9997189
Le Pain Quotidien,38.8876008,-77.0933094
Bakers & Baristas,38.8963107,-77.0216905
club house,39.1214833,-77.1364329
club house,39.1971293,-77.1438866
club house,38.8226258,-77.4052427
Clubhouse,38.3253662,-77.5334471
club house,38.5458524,-77.3520296
club house,38.7178982,-77.2459654
Starbucks,38.9014973,-77.2656335
Jammin Java,38.9041291,-77.2610424
Potomac Grille,38.8745514,-77.0267781
club house,39.1609592,-77.5604639
Starbucks,39.3885607,-76.7369870
Panera Bread,39.3904327,-76.7413155
Starbucks,39.3851950,-76.6871065
Coldstone Creamery,38.9034403,-77.2622253
Starbucks,38.9034904,-77.2621716
Club House,38.8792323,-77.6370166
club house,38.7832072,-77.6472398
Starbucks,38.8829782,-77.1036556
club house,39.0853842,-77.5130897
club house,39.2843886,-77.2924778
Great Day Cafe,39.4520163,-76.6393519
Starbucks,39.0553300,-76.9547840
club house,39.0449813,-76.4770192
club house,39.0155201,-76.5803688
club house,39.3300596,-76.7768866
club house,39.3275333,-77.3769044
club house,39.1883885,-77.1173396
Aromas,37.2723312,-76.7068165
Starbucks,38.8987348,-77.0400916
Cosi,38.8985087,-77.0397232
Juan Valdez Cafe,38.8975428,-77.0431676
Sandella's,38.9014810,-77.0438747
Corner Bakery,38.9596010,-77.0848069
Starbucks,38.9021147,-77.0602638
Teaism,38.9127576,-77.0459358
Starbucks,38.9054520,-77.0483200
Mill Mountain Coffee and Tea,37.2347068,-80.4197883
club house,38.9895694,-76.1681435
Avocado Cafe,38.9086177,-77.0641487
Starbucks,38.9010118,-77.0507502
Greenberry Coffee,38.9008488,-77.0445740
Au Bon Pain,38.9054824,-77.0432258
Jetties,38.9112627,-77.0839777
Capitol Grounds,38.9011290,-77.0468290
Starbucks,38.9022940,-77.0438180
Cosi,38.8939970,-77.0202350
Au Bon Pain,38.8946400,-77.0201844
Potbelly,38.8942890,-77.0214180
Starbucks,38.8941680,-77.0217120
Cosi,38.9027840,-77.0292610
Corner Bakery,38.8971432,-77.0316782
Starbucks Coffee,38.8984840,-77.0322360
Potbelly,38.8990854,-77.0321734
Starbucks Coffee,38.8995660,-77.0322840
Cosi,38.9003880,-77.0316420
Cafe Phillips,38.9005800,-77.0322120
Au Bon Pain,38.9015070,-77.0324470
Starbucks Hamilton,38.9030514,-77.0317393
Au Bon Pain,38.9039620,-77.0326480
Starbucks,38.9042148,-77.0331704
Starbucks,38.9603520,-77.0849690
Avalon Theatre Cafe,38.9653756,-77.0761630
Booeymonger,38.9588925,-77.0850231
Dunkin' Donuts,38.9493377,-77.0806482
Cosi,38.9588970,-77.0851902
New Orleans Cafe,38.9211068,-77.0424181
Tryst Coffeehouse,38.9219571,-77.0421524
Keren Restaurant,38.9167430,-77.0412810
Brookland Cafe,38.9358016,-76.9913040
Belga Cafe,38.8821724,-76.9947140
Le Pain Quotidien,38.8850365,-76.9963828
Liberty Tree,38.9003965,-76.9920081
Lincoln Park Bar & Wine,38.8894228,-76.9880374
Cafe 8,38.8830374,-76.9947482
Cafe Berlin,38.8944479,-77.0009334
East St Cafe,38.8975216,-77.0057287
Banana Cafe And Piano Bar,38.8825769,-76.9947236
Bread & Chocolate,38.9644883,-77.0757385
Firehook Bakery,38.9348842,-77.0577002
Breadsoda,38.9199407,-77.0707759
Starbucks,38.8590682,-76.9665364
Big Chair Coffee,38.8651680,-76.9893710
Tynan Coffee and Tea,38.9285884,-77.0333593
Cafe Mozart,38.9005192,-77.0306699
Teaism,38.9003850,-77.0386085
Teaism,38.8949554,-77.0231696
Kramerbooks & Afterwords Café,38.9108176,-77.0438161
Soho Tea & Coffee,38.9094741,-77.0485969
Java House,38.9113017,-77.0380811
Le Pain Quotidien,38.9098064,-77.0451022
The Cafe At The Corcoran,38.8959660,-77.0397116
Sabor Catering & Cafe,38.9654095,-77.0272780
Cafe Bonaparte,38.9094225,-77.0645772
Georgetown Cafe,38.9110526,-77.0650135
Booeymonger Restaurant,38.9061157,-77.0650626
Leopold's Kafe Konditorei,38.9047765,-77.0664931
Marvelous Market,38.9094762,-77.0639731
Le Pain Quotidien,38.9053956,-77.0575419
Miriam Cafeteria,38.9395324,-77.0324363
Vie De France,38.8859248,-77.0211087
First Cup Cafe,38.9055184,-77.0241326
Le Pain Quotidien,38.9453478,-77.0965444
New Heights,38.9237141,-77.0522460
Open City,38.9237168,-77.0523658
Busboys and Poets,38.9179290,-77.0316968
Gori Cafe,38.9182765,-77.0278524
club house,39.4911266,-77.5456852
Furin's,38.9054090,-77.0571850
Starbucks,38.8026019,-77.0620111
club house,38.9178418,-76.5719275
Cosi,38.9084995,-77.0432206
CF Folks,38.9066938,-77.0432068
Starbucks,38.9035359,-77.0407761
Au Bon Pain,38.9035317,-77.0406581
Ching Ching Cha,38.9043824,-77.0625917
Big Bear Cafe,38.9127500,-77.0123870
Soho Cafe & Market,38.9027795,-77.0299687
Sidamo Coffee and Tea,38.9000597,-76.9999030
Bagels & Baguettes,38.8949619,-77.0022134
Sova - Espresso & Wine,38.9000211,-76.9863760
Club House,38.9287733,-76.8146095
Club House,39.6339933,-76.6079152
Starbucks,38.8860896,-77.0213827
Cosmo,38.8860812,-77.0211574
M.E. Swing Coffee Roasters,38.8981378,-77.0400004
Ellipse Cafe,38.8979644,-77.0402280
Met Cafe,38.8975533,-77.0407728
G Street Food,38.8981378,-77.0401774
Wisey's,38.9086573,-77.0641688
Saxbys Coffee,38.9076209,-77.0692472
Cafe Aria,38.8975170,-77.0438790
Casey's Coffee,38.8965174,-77.0510377
Saxby's Coffee,38.9079420,-77.0432132
Breadline,38.8996492,-77.0410746
Club House,38.3007423,-76.9114411
Starbucks,38.9127589,-77.0455868
Zenobia Cafe,38.9033465,-77.0609601
Patisserie Poupon,38.9115909,-77.0653559
Baked and Wired,38.9038788,-77.0604348
Qualia Coffee,38.9391831,-77.0245822
BakeHouse,38.9157171,-77.0324463
Peet's Coffee,38.9149872,-77.0315580
Philz Coffee,38.9234830,-77.0433041
Cafe Moka Cafe,39.1022473,-77.0751869
club house,39.0318747,-77.1994007
Starbucks,38.5199732,-77.3483304
Tynan Coffee & Tea,38.9603187,-77.0868113
Starbucks,38.9588470,-77.3590716
Panera Bread,38.9582363,-77.3566821
Starbucks Coffee,38.8362453,-77.4374650
Starbucks,38.8534389,-77.4497862
La Madeleine,38.9607308,-77.3565474
Club House,39.5443522,-76.1313207
Urban Farmhouse Market & Cafe,37.5353224,-77.4340521
Shockoe Espresso & Roastery,37.5350318,-77.4342286
Starbucks,38.9444744,-77.0642390
Club House,39.4775439,-77.5229721
Starbucks,38.8693745,-77.1516065
Steam Cafe,38.9128030,-77.0387880
Prêt à manger,38.8975630,-77.0273660
Starbucks,38.8114382,-77.0454038
,38.8081307,-77.0517955
Starbucks,38.8111965,-77.0503723
Cafe Mark,39.6511689,-78.7627288
club house,39.3647091,-77.2993847
Bean Counter,38.9120804,-77.0656742
Uptowner,38.9209565,-77.0418518
The Kindred Cup Cafe & Bakery,38.9619970,-77.0846048
Peregrine Espresso,38.8852165,-76.9964033
Starbucks,38.9276312,-77.3753039
Safeway 1570 Vendor: Starbucks,38.9357538,-77.3626762
Starbucks Coffee,38.9615926,-77.3552415
Starbucks Coffee,38.9519777,-77.3473731
Starbucks Coffee,38.9797522,-77.3496010
Dunkin' Donuts,38.8515530,-77.0421413
Cosi,38.8534224,-77.0430865
Starbucks,38.7527363,-77.2650942
Idego,37.2293908,-80.4146557
Starbucks,37.2284456,-80.4132970
The Brown Bag,38.8953495,-77.0703930
Le Petit Cafe,38.8952533,-77.0698966
Ceremony Coffee Roasters,38.9759714,-76.5125580
Starbucks,38.9579722,-76.8697541
Potbelly Sandwich Shop,38.9035460,-77.0382480
Peet's Coffee & Tea,38.9039390,-77.0381320
Cafe Twelve,38.8841338,-77.0283376
Starbucks,38.8844745,-77.0295842
Georgeteon Gourmet Market,38.8558690,-77.0426310
Bagelry,39.0747639,-77.0036882
Panera Bread,38.8090127,-77.0861307
The Market's Cafe,38.9750804,-77.1625777
Starbucks,39.0406238,-77.1561326
Starbucks Coffee,38.9962956,-77.0261859
Tynan Coffee & Tea,38.9067067,-77.0056703
Starbucks,38.7752394,-77.1710603
Starbucks,38.9156303,-77.5116579
Starbucks,39.3273317,-76.6158076
Mudhouse,38.0693897,-78.7007198
Ben & Jerry's,37.3186486,-76.7359332
J. J. Jitterzz Koffee,37.3181239,-76.7354846
Starbucks,38.9101453,-77.0749547
Cosi,38.9101340,-77.0748636
Uncommon Grounds,38.9098107,-77.0746194
Starbucks,38.8973237,-77.1382013
Starbucks,38.8435064,-77.0179049
Tivoli Gourmet & Pastry,38.8816780,-77.1111589
Primo Fresh Deli,38.8818060,-77.1108552
Starbucks,38.9553409,-76.8240842
Machipongo Trading Company,37.4029220,-75.9048504
Starbucks,39.0227909,-77.4766034
Club House,39.1234948,-77.4202441
Starbucks,39.0752405,-77.1376529
Quartermaine,38.9810796,-77.0965257
Bethesda Bagels,38.9810816,-77.0966062
Cosi,38.9816101,-77.0956060
Le Pain Quotidien,38.9818494,-77.0979722
Starbucks,37.3513082,-79.1837834
The Blue Moose Cafe,39.6293297,-79.9552260
Potbelly's,39.1171859,-77.1986906
Starbucks,39.1164524,-77.1980988
Starbucks,38.8966362,-77.0965673
Club House,38.8466907,-76.7333448
Starbucks,38.8858810,-77.0196740
Ten Ren's Tea Time,38.9815600,-76.9381341
Starbucks,39.1178218,-77.2515645
Panera Bread,39.3344771,-76.4867955
Panera Bread,39.1530120,-77.0613120
The Pretzel Bakery,38.8854840,-76.9838366
Club House,39.2901659,-77.3396905
Donut King Cafe & Deli,39.0333030,-77.0737200
club house,38.7813094,-77.6145657
Club House,38.7555331,-76.7895652
Dunkin' Donuts,38.6952099,-77.1436361
Donkey Coffee & Espresso,39.3290502,-82.1018852
Starbucks,39.2143822,-76.8028210
Panera Bread,39.1948310,-76.8191570
Panera Bread,38.8718447,-77.2276261
Club House,38.3838533,-76.8412462
HoneyBaked Ham & Cafe,38.8537987,-77.3213200
Robek's,38.8537153,-77.3216773
Shilla Bakery & Cafe,38.8537692,-77.3214472
Little French Market Cafe,39.2669989,-76.7992029
Dunkin' Donuts,38.7207303,-77.1521951
Starbucks,39.4322942,-76.6229225
Starbucks Coffee,38.9512383,-77.4085918
,38.9558521,-77.0700356
Modern Times Coffee House,38.9555030,-77.0695948
Frozen Yogurt,39.2661744,-76.6996538
Borjo Coffeehouse,36.8848025,-76.2995498
Grit Coffee,38.0583301,-78.7102740
Starbucks,39.2833948,-76.7547072
Peregrine Espresso,38.9132675,-77.0322336
One World Cafe,39.3344750,-76.6204994
Starbucks,38.9014858,-77.0424932
Panera Bread,38.8563465,-77.3144604
Shilla Cafe & Bakery,38.8287997,-77.1894256
Melody,39.2987694,-76.6143046
Starbucks,39.3043820,-76.6159560
Starbucks,38.8493740,-77.0511115
Aroma Coffee,38.8520742,-77.0502290
Pastry Xpo,38.8728450,-77.2283342
Sticky Fingers,38.9304322,-77.0318376
Bruegger's Bagels,38.8756609,-77.1982181
Bishop's Stand,38.3587667,-76.4337061
Cone Island,38.3239244,-76.4611591
Solomons Snacks,38.3237134,-76.4605019
Donut Connection,38.3733927,-76.4409028
Dunkin' Donuts,39.1049001,-76.7218948
Toy Town Soul Food,37.6125791,-79.0172097
Starbucks,38.8823316,-77.2999868
Bagel Bin,39.2811704,-76.8572436
Dunkin' Donuts,39.2267164,-76.8173775
Starbucks,39.1084423,-77.5522156
South Street Under,39.1125046,-77.5631587
Dunkin' Donuts,38.9775343,-77.4106550
Dunkin' Donuts,39.3976462,-76.6035935
Uptowner Cafe,38.8064657,-77.0571499
Starbucks,38.8047342,-77.0456762
Misha's Coffehouse and Roaster,38.8051888,-77.0501880
Starbucks,38.8040945,-77.0401400
Sweet Sue's Bakeshop,38.7084413,-76.5313917
Bon Appetit Cafe & Bakery,39.2789195,-76.8621351
Tari's Cafe,39.6275481,-78.2276266
Fairfax Coffee House,39.6273104,-78.2281604
&Pizza,38.9580537,-77.3587793
Starbucks,38.9028060,-77.0485240
Norah's Cafe,37.2726090,-79.9378724
Mill Mountain Coffee and Tea,37.2717007,-79.9382637
Tudor's Biscuit World,37.2705851,-79.9417320
Corner Bakery,38.8996233,-77.0196678
Shoe's Cup and Cork Club,39.1160524,-77.5644360
Tiramisu Café,38.9856155,-77.0277260
Moorenko's Ice Cream & Café,38.9884675,-77.0269066
The Wine Kitchen,39.1151889,-77.5648174
King Street Coffee,39.1136360,-77.5652070
Bagel Bin & Deli,39.2199931,-76.8739541
Bagel Bin & Deli,39.2105650,-76.9352930
Starbucks,38.0289178,-78.4437158
Starbucks,38.9026392,-77.2037438
Starbucks,38.1337705,-79.0412732
THB Bagels & Deli,39.4305487,-76.6222490
Starbucks,39.1995170,-76.6831950
La Colombe,38.9061666,-77.0253921
Starbucks,39.1976915,-76.8192241
Starbucks,39.4102030,-76.7681130
Starbucks,38.7713828,-77.0834209
Starbucks,38.8232138,-77.1620144
Starbucks,39.0311790,-77.0038180
Starbucks,39.2807404,-76.5802784
Starbucks,39.1761610,-76.8395750
Sweet Frog,37.3000701,-78.3930819
Kafe Bohem,38.9153988,-77.0201927
Montebello Cafe,37.8527535,-79.1315027
Baine's,37.3537781,-78.8279423
Bean & Bite,38.9050245,-77.0348363
Peet's Coffee,38.9054848,-77.0347817
Rappahanock Coffee,38.8632762,-77.0835866
Nature's Table Cafe,38.7846053,-77.0168200
Harbor Coffee,38.7846395,-77.0155765
Dunkin' Donuts,38.9453937,-77.4538610
Starlight Cafe,38.4301842,-79.8181171
Starbucks,38.4221657,-82.4436434
The Old Village Roaster,38.4208279,-82.4430424
Starbucks,38.8775241,-77.0174020
Pretty Girl Cup Cakery,38.9565735,-76.9403497
Starbucks,36.8589925,-75.9790085
SweetFrog,36.8569624,-75.9777047
Tropical Smoothie Cafe,36.8535098,-75.9774645
Starbucks Coffee Company,38.8085473,-77.0835780
SweetFrog,36.7624289,-76.0151922
Starbucks,36.7686531,-76.0156399
,37.3525604,-79.1757153
Starbucks,39.4775670,-76.6427490
Quarry Bagel & Cafe,39.3846547,-76.6898734
Cafe Deli,36.8197845,-76.0724661
ShanghaiTokyo,38.9303924,-77.0319727
Starbucks,36.7850373,-76.0017681
Joe Muggs Coffee,36.7737052,-76.0850062
Starbucks,36.7755417,-76.0878866
Starbucks,36.7889395,-76.1082796
ausanda,36.7899572,-76.1087664
Lendy's Cafe,36.7873665,-76.0010960
Starbucks,37.3543656,-77.4125258
Coffy Cafe,38.9307057,-77.0329677
Tropical Smoothie Cafe,36.9151920,-76.2533539
The Coffee Bar,38.9142677,-77.0282722
Snow Cafe,39.2711628,-76.8256724
Starbucks,39.6004812,-75.7493875
Davenport Coffee Lounge,38.9359533,-77.0884386
The Perch,38.9361535,-77.0913193
