elements__tags__name,elements__lat,elements__lon
New Playwrights Theatre,38.9101115,-77.039977
Folger Theatre,38.8894492,-77.0023852
Horizons Theatre,38.903758,-77.062453
Departmental Auditorium,38.8926119,-77.0299767
Fort Dupont Summer Theater,38.8810253,-76.9568065
Atlas Performing Arts Center,38.9000102,-76.9874009
Senator Theater,38.8945,-76.9499
Ira Aldridge Theatre,38.9241667,-77.0211111
Cramton Auditorium,38.9244444,-77.0211111
McNeir Auditorium,38.9075028,-77.0741338
Elstad Auditorium,38.9051508,-76.9932867
Shakespeare Theatre Company - Lansburgh Theater,38.8957339,-77.0221317
Chevy Chase Theater,38.9637217,-77.0749778
Tivoli Theatre,38.9306003,-77.0324496
National Theatre,38.8963541,-77.0304994
Warner Theatre,38.8965108,-77.0293531
Andrew W Mellon Auditorium,38.8926119,-77.0296989
Gala Hispanic Theater,38.9309279,-77.0324431
Heights Playhouse,39.0262205,-77.1630351
Roundhouse Theater Company,39.05622,-77.0788671
Gibson Center and Tawes Theatre,39.2175,-76.0697222
Avrum Gudelsky Memorial Auditorium,39.0458333,-76.8502778
Mechanic Theater (Historic),39.2890382,-76.6160479
Merrick Lecture Hall,39.4091071,-76.5955759
Kraushaar Auditorium,39.4088487,-76.5956595
Coal Miners Memorial Theater,36.96403,-82.95189
Lakewood Music And Dance Center,36.8895525,-76.2641089
Studio Theatre,36.7736111,-81.8291667
Harris Theatre,38.831021,-77.3086304
James D Francis Auditorium,38.1513889,-79.0691667
Kimball Theatre,37.2707022,-76.7066237
King Memorial Auditorium and Gymnasium,38.152076,-79.0716959
Culbreth and Helms Theatre,38.0399346,-78.5044745
Thoresen Theatre,37.4375858,-79.1707755
Morris and Dorothy Haskins Ariel Theatre,38.8085602,-82.2046386
Bethesda Theatre,38.9872748,-77.0945738
Montgomery College Performing Arts Center,38.9870259,-77.0262729
Imagination Stage,38.9896779,-77.0994567
Round House Theatre,38.9851278,-77.0924343
Jiffy Lube Live,38.7854145,-77.5902378
Earl Hamner Theater,37.9233902,-78.8425056
Rosslyn Spectrum,38.8950706,-77.0691333
Maison Francaise,38.9136613,-77.0779419
Avalon Theatre,38.9652866,-77.0761285
Woolly Mammoth Theatre Company,38.8949849,-77.0215312
Studio Theater,38.9098424,-77.0314599
Lincoln Theatre,38.9172457,-77.0289788
Letelier Theater,38.906235,-77.063713
Fred And Anita Scott Amphitheater,38.8293415,-77.6703639
Brown's Isle Amphitheater,37.5338839,-77.4411725
Gatehouse Stage,39.0024971,-76.585612
AFI Silver Theatre and Cultural Center,38.9965784,-77.0274206
Mall Theater,38.1245022,-79.0624211
