Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Crime in 2014

,,,,Number of offenses reported,,,,,,,,,,,
,,,,Violent crime,,,,,,Property crime,,,,,

Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,
Accomack County Sheriff Office,VA,12,,          69,           4,,          14,           7,          44,         370,          67,         276,          27
Albemarle County Police Department,VA,12,,          97,           1,,          26,          12,          58,       1604,         200,       1355,          49
Alexandria Police Dept,VA,12,     151065,         280,           4,,          25,         142,         109,       2983,         259,       2457,         267
Amherst County Sheriff Office,VA,12,,          38,           2,,          18,           4,          14,         364,          40,         305,          19
Arlington County Police Department,VA,12,,         314,           1,,          37,         111,         165,       3521,         204,       3175,         142
Augusta County Sheriff Office,VA,12,,          99,           4,,          17,           6,          72,         795,         165,         588,          42
Bedford County Sheriff Office,VA,12,,          53,           2,,           8,           5,          38,         632,         205,         399,          28
Blacksburg Police Dept,VA,12,      43842,          32,           2,,          14,           3,          13,         392,          66,         311,          15
Botetourt County Sheriff Office,VA,12,,          31,           1,,           7,           1,          22,         259,          40,         212,           7
Bristol Police Dept,VA,12,      17225,          54,           1,,           5,           8,          40,         483,          49,         415,          19
Campbell County Sheriff Office,VA,12,,          82,           2,,          23,           9,          48,         713,         145,         534,          34
Caroline County Sheriff Office,VA,12,,          34,           0,,          13,           3,          18,         372,          64,         304,           4
Carroll County Sheriff Office,VA,12,,          27,           1,,           6,           1,          19,         304,         125,         157,          22
Charlottesville Police Dept,VA,12,      44574,         192,           5,,          17,          39,         131,       1358,         174,       1101,          83
Chesapeake Police Dept,VA,12,     232489,         999,          10,,          68,         180,         741,       6429,       1013,       5126,         290
Chesterfield County Police Department,VA,12,,         422,           8,,          81,         150,         183,       6373,       1328,       4869,         176
Christiansburg Police Dept,VA,12,      21663,          21,           0,,           8,           3,          10,         461,          42,         410,           9
Colonial Heights Police Dept,VA,12,      17706,          38,           0,,           8,          14,          16,         867,          80,         773,          14
Culpeper County Sheriff Office,VA,12,,          30,           5,,           4,           3,          18,         186,          35,         136,          15
