Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Crime in 2005

,,,,Number of offenses reported,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,,,
,,,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,,,

Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
Accomack County Sheriff Office,VA,12,,          57,           2,           5,,          14,          36,         439,          92,         299,          48,,,,,,,,,,
Albemarle County Police Department,VA,12,,         149,           2,          31,,          26,          90,       2037,         268,       1652,         117,,,,,,,,,,
Alexandria Police Dept,VA,12,     130056,         462,           3,          22,,         199,         238,       3446,         360,       2606,         480,         355.2,           2.3,          16.9,,         153.0,         183.0,       2649.6,         276.8,       2003.8,         369.1
Amherst County Sheriff Office,VA,12,,          38,           1,           5,,           8,          24,         355,          52,         280,          23,,,,,,,,,,
Arlington County Police Department,VA,12,,         407,           5,          36,,         163,         203,       4401,         349,       3640,         412,,,,,,,,,,
Augusta County Sheriff Office,VA,12,,          83,           6,           6,,          12,          59,         682,         139,         503,          40,,,,,,,,,,
Bedford County Sheriff Office,VA,12,,          61,           1,          10,,           5,          45,         734,         139,         562,          33,,,,,,,,,,
Blacksburg Police Dept,VA,12,      39778,          58,           0,           8,,          14,          36,         618,         109,         487,          22,         145.8,            .0,          20.1,,          35.2,          90.5,       1553.6,         274.0,       1224.3,          55.3
Botetourt County Sheriff Office,VA,12,,          27,           2,           1,,           1,          23,         433,          40,         365,          28,,,,,,,,,,
Bristol Police Dept,VA,12,      17558,          89,           2,           8,,          16,          63,         791,         108,         642,          41,         506.9,          11.4,          45.6,,          91.1,         358.8,       4505.1,         615.1,       3656.5,         233.5
Campbell County Sheriff Office,VA,12,,          69,           0,          13,,           7,          49,         774,         155,         558,          61,,,,,,,,,,
